# Estimated CEFR levels — OURS, not a published wordlist.
#
# Produced 2026-07-26 by independent raters over the cards that carry no
# published level and sit at zipf >= 3.0. Calibrated first against 420 cards
# that DO carry one (six raters, blind): 38 % exact, 91 % within one step,
# 91 % on the 'core vocabulary or beyond' boundary — against 26 / 76 / 71 %
# for deriving the level from frequency, the rule `info/PLANS.md` pt.3
# measured and rejected.
#
# Read that shape before using this file. The exact step is weak and the
# raters lean about a third of a level EASY. What is strong is the one
# boundary an official list attests, and on the Goethe half of the sample
# the estimate never once called a word 'core' that the list placed above.
#
# Per-level precision on words absent from the Goethe list (n=235): a1 83 %,
# a2 73 %, b2 39 %, c2 36 %, c1 26 %, b1 13 %. `b1` is the dumping ground.
#
# Consumed by vocab/levels.py into `cards.level_est` — never into `level`,
# and never into `band`, which picks one of 15 hand-painted brushes.
#
# lemma	level	conf
08/15	b1	low
1,5-Grad-Ziel	b1	high
1-Euro-Münze	a2	high
1-Euro-Stück	a1	high
1-m-Brett	c2	low
10-jährig	a1	high
10-m-Brett	b1	low
100-Franken-Note	a2	medium
100-Meter-Lauf	a2	high
100-m-Lauf	a2	high
102-Jährige	a2	low
180-Grad-Drehung	b1	medium
2-Euro-Stück	a1	high
2-Zimmer-Wohnung	a2	high
24-Stunden-Rennen	a2	high
3-D-Drucker	b1	high
3-Zimmer-Wohnung	a1	high
35-Jähriger	a2	high
3D-Gestaltung	b2	low
3G-Regel	b2	low
40-Stunden-Woche	b1	high
400-Euro-Job	b2	low
5-Cent-Stück	a1	high
5-Minuten-Takt	b1	high
5-Zimmer-Wohnung	a2	high
50-Franken-Note	a2	high
59-Jähriger	a2	low
5G-Auktion	b2	high
6-Zimmer-Wohnung	a1	high
A-Auswahl	b2	low
A-Bombe	b1	high
A-Dur	c1	low
A-Jugend	c2	low
A-Jugendliche	c1	high
A-Klarinette	c2	low
A-Nationalmannschaft	b2	low
A-Probe	c2	medium
A-Saite	b1	medium
A-cappella-Band	b1	low
ABC-Buch	a1	high
ABC-Gefahr	c1	low
AIDS-Krise	b2	high
AU-Plakette	c2	low
Aa-Lava	c2	high
Aas	b1	low
Abbild	b2	high
Abc-Buch	a1	high
Abc-Schütze	b2	low
Abdeckung	b1	high
Abdruck	b1	high
Abend-Make-up	a2	low
Abendblatt	b1	high
Abendbrot	a1	high
Abendmahl	b1	low
Abendzeitung	a2	high
Abenteurer	a2	high
Aberglauben	b1	high
Abfluss	a2	high
Abgabe	b1	low
Abgang	b1	high
Abgeordnetenhaus	b2	high
Abgeordneter	b1	high
Abgleich	b2	low
Abhang	a2	high
Abholung	a2	high
Abhören	b1	high
Abkehr	c1	medium
Abkühlung	b2	high
Ablauf	b1	high
Ableben	c1	high
Ableitung	b2	high
Ablenkung	b1	high
Ablösung	b2	high
Abmachung	b1	high
Abnahme	b1	high
Abneigung	b1	high
Abpfiff	b1	low
Abrechnung	b1	high
Abreißen	b1	medium
Abriss	b2	high
Abruf	b2	high
Abrüstung	b1	high
Absage	b1	high
Abschaffung	b2	high
Abschaltung	b2	high
Abschaum	b1	low
Abscheu	b1	low
Abschlussarbeit	b1	high
Abschlussbericht	b1	high
Abschottung	b2	high
Abschrift	b2	high
Absehen	c1	low
Absenkung	b2	low
Absolvent	b1	high
Abspaltung	b2	low
Absperrung	b1	medium
